Country,Continent,Year,Rank
India,Asia,2020,1
Malaysia,Asia,2020,2
Indonesia,Asia,2020,4
Philippines,Asia,2020,3
Vietnam,Asia,2020,5
India,Asia,2021,1
Malaysia,Asia,2021,2
Indonesia,Asia,2021,3
Philippines,Asia,2021,4
Vietnam,Asia,2021,5
India,Asia,2022,1
Malaysia,Asia,2022,2
Indonesia,Asia,2022,4
Philippines,Asia,2022,3
Vietnam,Asia,2022,5
India,Asia,2023,1
Malaysia,Asia,2023,2
Indonesia,Asia,2023,4
Philippines,Asia,2023,3
Vietnam,Asia,2023,5
