Country,Continent,Year,Rank
South Africa,Africa,2020,1
Egypt,Africa,2020,2
Morocco,Africa,2020,3
Tunisia,Africa,2020,4
Kenya,Africa,2020,5
South Africa,Africa,2021,1
Egypt,Africa,2021,2
Morocco,Africa,2021,3
Tunisia,Africa,2021,4
Kenya,Africa,2021,5
South Africa,Africa,2022,1
Egypt,Africa,2022,2
Morocco,Africa,2022,3
Tunisia,Africa,2022,4
Kenya,Africa,2022,5
South Africa,Africa,2023,1
Egypt,Africa,2023,2
Morocco,Africa,2023,3
Tunisia,Africa,2023,4
Kenya,Africa,2023,5
